Variable,Label,GRAFT_NE
MCAID_ORIGDIS_G_NEF70_74," Medicaid and Originally Disabled Female 70-74",2.003
MCAID_ORIGDIS_G_NEF75_79," Medicaid and Originally Disabled Female 75-79",2.003
MCAID_ORIGDIS_G_NEF80_84," Medicaid and Originally Disabled Female 80-84",2.003
MCAID_ORIGDIS_G_NEF85_89," Medicaid and Originally Disabled Female 85-89",2.003
MCAID_ORIGDIS_G_NEF90_94," Medicaid and Originally Disabled Female 90-94",2.003
MCAID_ORIGDIS_G_NEF95_GT," Medicaid and Originally Disabled Female 95+",2.003
MCAID_ORIGDIS_G_NEM65," Medicaid and Originally Disabled Male 65",1.811
MCAID_ORIGDIS_G_NEM66," Medicaid and Originally Disabled Male 66",2.198
MCAID_ORIGDIS_G_NEM67," Medicaid and Originally Disabled Male 67",2.198
MCAID_ORIGDIS_G_NEM68," Medicaid and Originally Disabled Male 68",2.198
MCAID_ORIGDIS_G_NEM69," Medicaid and Originally Disabled Male 69",2.198
MCAID_ORIGDIS_G_NEM70_74," Medicaid and Originally Disabled Male 70-74",2.198
MCAID_ORIGDIS_G_NEM75_79," Medicaid and Originally Disabled Male 75-79",2.198
MCAID_ORIGDIS_G_NEM80_84," Medicaid and Originally Disabled Male 80-84",2.198
MCAID_ORIGDIS_G_NEM85_89," Medicaid and Originally Disabled Male 85-89",2.198
MCAID_ORIGDIS_G_NEM90_94," Medicaid and Originally Disabled Male 90-94",2.198
MCAID_ORIGDIS_G_NEM95_GT," Medicaid and Originally Disabled Male 95+",2.198
